Feature	Gain	Cover	Frequency
mcuentas_saldo	0.104824412623782	0.0286617309730264	0.0210538124976628
ctrx_quarter	0.104604914846225	0.0216976127483619	0.016441668848086
Visa_status	0.0973593976153587	0.00709513739013283	0.00362738865412662
mdescubierto_preacordado	0.058044237415224	0.00667845808798542	0.00319110479538287
mtarjeta_visa_consumo	0.0506158201109487	0.00917697354710966	0.00734203408000199
mcaja_ahorro	0.0449204945548289	0.0138296889998016	0.0152200740436035
foto_mes	0.0310963790515889	0.0210495882163103	0.0172893060593595
cpayroll_trx	0.019497059217393	0.0142155074901614	0.00163294815701233
cprestamos_personales	0.0179281110595214	0.0139697210428895	0.00469940042132556
mactivos_margen	0.0148135100492738	0.0121727904935988	0.0210662777507697
mcuenta_corriente	0.0139750622404554	0.0182462015737418	0.0162546900514815
mpayroll	0.0136526969496075	0.0165052386444848	0.00502349700210663
Visa_Finiciomora	0.0114977940303175	0.0177513021787228	0.0046121436495768
mrentabilidad_annual	0.0112376308786423	0.0148759819200013	0.0217394014185458
Visa_msaldototal	0.0107441534206768	0.00722024148197287	0.010495743116064
Visa_msaldopesos	0.0104066347255078	0.0120386243289844	0.0113932413397654
mprestamos_personales	0.0100530368482073	0.0240865174723648	0.00800269249467111
ctarjeta_visa_transacciones	0.00990580591958001	0.0152649050583063	0.00863842040312628
Master_Finiciomora	0.00960250991414234	0.0143923618355813	0.00292933448013662
Visa_mpagominimo	0.00951525493141843	0.0118132596307245	0.0134250775962006
Visa_mpagospesos	0.0094810412052821	0.0116643662256729	0.0148835122097154
Master_fechaalta	0.00924492003801192	0.0122687244335859	0.0194083990875435
cliente_edad	0.00900410194118328	0.0172503102416037	0.0205178066140633
Visa_fechaalta	0.00897254324508799	0.0116667286095329	0.0167533001757601
cproductos	0.00886204081620637	0.00773831050743371	0.00885032970594468
mautoservicio	0.00874631946534058	0.00970992674961725	0.00699300699300699
mrentabilidad	0.0085298866458816	0.0078446318078507	0.016429203594979
Visa_Fvencimiento	0.00774332701805226	0.00664370313410829	0.016416738341872
numero_de_cliente	0.00692734074371356	0.0101127114020537	0.0190095109881206
ccomisiones_mantenimiento	0.00691614919034429	0.00494431498952905	0.00402627675354948
mcomisiones_otras	0.00679913562501665	0.00578558825398595	0.0137117784176608
Master_Fvencimiento	0.00674185530595199	0.0103738428751986	0.0173391670717874
mpasivos_margen	0.00660985133322452	0.00706265185075976	0.015382122333994
ctarjeta_debito_transacciones	0.00646321744800168	0.0115284967296445	0.00605811300998467
cliente_antiguedad	0.00631389256373538	0.0100947324703023	0.0170524662503272
Visa_mconsumospesos	0.00627505658475813	0.00779109656974162	0.0133502860775588
Master_mfinanciacion_limite	0.00624579197910488	0.00893649475560422	0.0157934756865238
cmobile_app_trx	0.00617110051201746	0.0105275484608485	0.0147837901848597
chomebanking_transacciones	0.00593272740663655	0.00918720627483522	0.0155067748650636
Visa_mfinanciacion_limite	0.00588988503289526	0.00892512891303178	0.0142602495543672
mcomisiones_mantenimiento	0.00580852010469752	0.0139158441491736	0.0115677548832629
mtransferencias_recibidas	0.00547203716960595	0.0140644464490115	0.0106827219126684
ccaja_ahorro	0.00543126518207653	0.0131686238215323	0.00290440397392269
mcomisiones	0.00527342782236234	0.0070453726963689	0.0141854580357254
mes	0.00502394998907031	0.00697421034640343	0.0103461600787804
Visa_mlimitecompra	0.00492404966921483	0.00768719660605608	0.0120040387420067
mcaja_ahorro_dolares	0.00482757898591152	0.0146118121378321	0.0120538997544345
Master_msaldototal	0.00471834673230726	0.00886488172110062	0.00939880084265111
mcuenta_debitos_automaticos	0.00466457383079418	0.006554165580676	0.00882539919973075
Master_msaldopesos	0.00454919999485551	0.00627021345098361	0.00904977375565611
Master_mlimitecompra	0.00451512925646134	0.0105663969801493	0.0126273013973549
Visa_cconsumos	0.0045142250687669	0.00763605546438613	0.00997220248557147
mttarjeta_visa_debitos_automaticos	0.00448695528652748	0.00454491951734505	0.0116300811487977
mtransferencias_emitidas	0.00430994783683488	0.0185338237568502	0.0105954651409197
Master_fultimo_cierre	0.00412126804187528	0.0112855688867818	0.0121910175386111
Visa_fultimo_cierre	0.00409331130920275	0.0113114853144628	0.0109943532403425
canarito2	0.00408901326301469	0.0035497177305174	0.0131009810154195
canarito15	0.00398232690703881	0.00400783724216705	0.0131757725340613
canarito13	0.00395156642736975	0.00449586774675442	0.013287959812024
ccomisiones_otras	0.0039385181201082	0.00801743155095171	0.00957331438614861
canarito5	0.00379590957834705	0.00463906284856362	0.0129638632312429
ctarjeta_visa	0.00378569487205795	0.00263515039381492	0.00130885157623126
canarito16	0.00376855749060771	0.00467294753608634	0.0128018149408524
canarito3	0.00375809713752547	0.00774850074843466	0.0126148361442479
canarito14	0.0037580812275551	0.00307424520398274	0.0123655310821086
canarito1	0.00373858905199899	0.0036543183524685	0.0127644191815315
canarito10	0.00361754161012159	0.00392285362865131	0.0120538997544345
canarito9	0.00360852467425988	0.00888468290643789	0.0120663650075415
canarito7	0.00359795173769986	0.00348821633318611	0.0120289692482206
canarito19	0.00357935096024394	0.00393292569286162	0.0120912955137554
canarito4	0.00357060421562191	0.00417761338058067	0.0125151141193922
canarito6	0.00355808232457142	0.00273684145439207	0.0121162260199693
canarito11	0.00354029622262293	0.00439271580691739	0.0118419904516161
mpagomiscuentas	0.00351385296781338	0.0216139314512104	0.00745422135796467
canarito8	0.00337802698183507	0.00449158058552178	0.011542824377049
Visa_mconsumosdolares	0.00336938610232656	0.0052653070728445	0.00951098812061379
canarito12	0.00335264420847402	0.00364327187183083	0.0116550116550117
canarito21	0.00331283181662464	0.00922285826102565	0.01116886678384
ccaja_seguridad	0.00327971320433213	0.0120804708389664	0.00158308714458447
canarito17	0.00326495994159213	0.00530581758878741	0.0108821659623799
mtarjeta_master_consumo	0.00326036656406269	0.0098305542856548	0.0049985664958927
canarito18	0.00316974709612478	0.00337616894713907	0.0109569574810217
canarito20	0.00307280075734187	0.00504865567675029	0.010495743116064
Master_status	0.0030254236198389	0.00720444245122753	0.00260523789935555
ccallcenter_transacciones	0.0026068661963435	0.00462766915584155	0.00350273612305698
tmobile_app	0.00222866285804437	0.00148783881458244	0.00467446991511163
thomebanking	0.00216035585204328	0.00296574718736994	0.00264263365867644
cplazo_fijo	0.00184740741337499	0.0227999814366217	0.00194457948468644
tcallcenter	0.00165582560917994	0.00134477300251896	0.00193211423157947
ctarjeta_master	0.00112186631840068	0.00313939348015292	0.000934893983022325
mprestamos_prendarios	0.00111286902912105	0.0114618297055337	0.00124652531069643
mcheques_emitidos_rechazados	0.000824978849183345	0.00450812032182813	0.000897498223701432
mforex_buy	0.000651074476658746	0.0122515255093098	0.00193211423157947
mcheques_depositados	0.000585686861393014	0.00725519951832794	0.00137117784176608
Master_madelantodolares	0.000534441173664653	0.000429860825399323	0.00113433803273375
Master_msaldodolares	0.000527752998436539	0.00917772644981649	0.00191964897847251
