Feature	Gain	Cover	Frequency	pos
ctrx_quarter	0.318102269653623	0.0293623894713492	0.00569906002516468	1
mcuentas_saldo	0.0570048954503127	0.0180861005151041	0.00784545925542151	2
cpayroll_trx	0.0239392819694196	0.0212676700705196	0.00540300495892236	3
mtarjeta_visa_consumo	0.0216145131740518	0.00985844383968272	0.00347864702834727	4
mcaja_ahorro	0.0194952458181868	0.00326630563203652	0.00325660572866553	5
mv_status06_tend6	0.018436430683446	0.00490534002260628	0.000814151432166383	6
mprestamos_personales	0.0142227558381113	0.0200986774951568	0.00851158315446673	7
ctarjeta_visa_transacciones	0.0122214457163313	0.00925457992600876	0.00355266079490785	8
mpayroll	0.0117725694149988	0.0113009304664296	0.00370068832802901	9
mv_status07_tend6	0.0110461402371983	0.0006624325762955	0.000222041299681741	10
mdescubierto_preacordado	0.00943575838381025	0.000821664145291473	0.000444082599363482	11
mdescubierto_preacordado_tend6	0.00925016492895498	0.00491912658026915	0.00222041299681741	12
mdescubierto_preacordado_tend6_avg3	0.00806699246649536	0.00378754035159983	0.00177633039745393	13
mpasivos_margen_avg3	0.00758514117029148	0.000654288857685733	0.00118422026496928	14
foto_mes	0.00675393231321665	0.0185011864202667	0.00888165198726963	15
ccomisiones_mantenimiento_tend6	0.00618164314724115	0.00492398142522962	0.00444082599363482	16
mpasivos_margen	0.00586774132267736	0.00150247434652677	0.00229442676337799	17
mv_status01	0.00534280793796985	0.00695467225253864	0.00281252312930205	18
ccaja_ahorro	0.00533142696826954	0.0120102620470682	0.0045148397601954	19
mv_msaldopesos	0.00531947177935006	0.000989874172402109	0.0011102064984087	20
mautoservicio	0.00510348876686914	0.00916341301624202	0.00222041299681741	21
mprestamos_personales_min6	0.00468611236883972	0.000272679345627401	0.000740137665605803	22
mcuentas_saldo_tend6	0.00450545447590921	0.00566693297416741	0.00532899119236178	23
cproductos	0.0040173100710353	0.00802849116851113	0.00340463326178669	24
mprestamos_personales_tend6	0.00396333442450012	0.0023061114574705	0.00259048182962031	25
mactivos_margen	0.00350953810794925	0.00301727946501986	0.00325660572866553	26
mtarjeta_master_consumo	0.00347321973548675	0.00591718453877726	0.00273850936274147	27
mv_status02	0.00330857291626098	0.0032736847292598	0.00118422026496928	28
cproductos_tend6	0.003194892342625	0.00428011011656499	0.00192435793057509	29
mcuentas_saldo_min6_tend6	0.00304915047460886	0.000765259127466629	0.00251646806305973	30
mpagomiscuentas	0.00304144273778048	0.0147166978762968	0.00273850936274147	31
ctarjeta_visa_transacciones_tend6_avg3	0.00303336580464427	0.00263028087471792	0.00177633039745393	32
Visa_fultimo_cierre_tend6_avg6_avg3	0.00282418003686815	0.00361257895137359	0.00340463326178669	33
mv_Finiciomora	0.00273576002699937	0.00809644564212572	0.00259048182962031	34
mv_mpagominimo	0.00233145561760364	0.00483842730389381	0.00222041299681741	35
ctrx_quarter_max6_tend6_avg3	0.00229030932628411	0.00274625624257017	0.00370068832802901	36
mcomisiones_mantenimiento_tend6	0.00227066287667007	0.00503746926935729	0.00377470209458959	37
numero_de_cliente	0.00225571561509924	0.00642440899049038	0.00592110132484642	38
mcuenta_corriente	0.00225069730881636	0.00157756751238723	0.00340463326178669	39
mcomisiones_mantenimiento	0.00218581706169189	0.00882910986140516	0.00340463326178669	40
ccallcenter_transacciones_tend6	0.00218381481865761	0.00288724040598911	0.00244245429649915	41
mdescubierto_preacordado_tend6_avg6_avg3	0.00211221978831723	0.00238553859084038	0.00118422026496928	42
mpayroll_min6_avg3	0.00205033383994062	0.00353389640564208	0.00192435793057509	43
ctarjeta_visa_transacciones_tend6	0.00198002572962586	0.00290601870589126	0.00266449559618089	44
Visa_fultimo_cierre_tend6_avg6	0.00191653192853547	0.000658522656454566	0.00229442676337799	45
cproductos_tend6_avg3	0.00189395411524797	0.00368359191053412	0.00155428909777219	46
