fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	num_iterations	early_stopping_rounds	force_row_wise	max_bin	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	seed	gleaf_size	gnum_leaves	semilla	isemilla	num_iterations	pos_actual	pos_ratio_actual	gan_validate	gan_test	pos_acum	pos_ratio_acum	gan_validate_acum	gan_test_acum	iteracion_bayesiana
20211127 222031	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	239	TRUE	96	0.100748844812624	0.586871782263042	3433	35	378821	41.1876972625032	0.551754983359366	378821	1	300	4147	0.0347049617969253	6516250	5966250	4147	0.0347049617969253	6516250	5966250	1
20211127 222136	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	239	TRUE	96	0.100748844812624	0.586871782263042	3433	35	964333	41.1876972625032	0.551754983359366	964333	2	436	4437	0.0371318822023047	6753750	5853750	4203	0.0351736084958952	6596250	5846250	1
20211127 222258	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	239	TRUE	96	0.100748844812624	0.586871782263042	3433	35	187049	41.1876972625032	0.551754983359366	187049	3	301	4857	0.0406467324445783	6578750	5578750	4294	0.0359351593817211	6532500	5832500	1
20211127 222337	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	239	TRUE	96	0.100748844812624	0.586871782263042	3433	35	205151	41.1876972625032	0.551754983359366	205151	4	167	4941	0.0413497024930331	6523750	5823750	5299	0.0443456938900187	6576250	5976250	1
20211127 222439	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	239	TRUE	96	0.100748844812624	0.586871782263042	3433	35	813697	41.1876972625032	0.551754983359366	813697	5	396	5088	0.0425799000778288	6490000	5740000	4490	0.0375754228281155	6587500	5587500	1
20211127 222539	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	239	TRUE	96	0.100748844812624	0.586871782263042	3433	35	344719	41.1876972625032	0.551754983359366	344719	6	346	4674	0.0391152619818734	6607500	5507500	4608	0.0385629283723733	6540000	5690000	1
20211127 222646	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	239	TRUE	96	0.100748844812624	0.586871782263042	3433	35	127217	41.1876972625032	0.551754983359366	127217	7	436	4154	0.0347635426342966	6607500	6007500	4555	0.0381193877465626	6506250	5706250	1
20211127 222738	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	239	TRUE	96	0.100748844812624	0.586871782263042	3433	35	464371	41.1876972625032	0.551754983359366	464371	8	309	5537	0.0463374423606404	6878750	5778750	5265	0.0440611583942156	6518750	5618750	1
20211127 222838	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	239	TRUE	96	0.100748844812624	0.586871782263042	3433	35	645137	41.1876972625032	0.551754983359366	645137	9	391	4890	0.0409228992493284	6987500	5737500	4584	0.0383620797871005	6570000	5720000	1
20211127 222925	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	9999	239	TRUE	96	0.100748844812624	0.586871782263042	3433	35	480803	41.1876972625032	0.551754983359366	480803	10	256	4849	0.0405797829161541	6688750	5988750	5133	0.0429564911752153	6533750	5683750	1
