Feature	Gain	Cover	Frequency
ctrx_quarter	0.176003770327543	0.0230630002423081	0.0050162384642593
mcaja_ahorro	0.0613674909454128	0.0184029740470528	0.00471880124762854
mdescubierto_preacordado_delta1	0.0447369813028349	0.00416914911728533	0.00127013730345027
mcuentas_saldo	0.0335068900175207	0.0192759716724131	0.00760474613331618
Visa_status	0.0309648830299233	0.00273430754892493	0.00059487443326152
mtarjeta_visa_consumo	0.0237072519024564	0.0194339551270901	0.00346474163156372
foto_mes	0.0208267820288655	0.01824961032353	0.0124521688800283
Visa_Finiciomora	0.0171723869705201	0.0116428785203607	0.00268497379336956
mdescubierto_preacordado	0.0160058885339862	0.00418344917914986	0.00197755554840992
mprestamos_personales	0.0152196255872283	0.0155777210078264	0.00724299816714364
mprestamos_personales_delta1	0.0147630868452616	0.0112967622257929	0.00604521045692788
ctarjeta_visa_transacciones	0.0144620380259326	0.0200724779466927	0.0038747226598926
cpayroll_trx	0.0144480237853543	0.0263553044758752	0.00226695392134795
ctarjeta_visa	0.0120335249941472	0.00338025096994341	0.000667224026496029
mpayroll	0.00914981026748062	0.0209754698009375	0.00291006141676581
ctrx_quarter_delta1	0.00910652214011697	0.0103049275120602	0.00905977684169909
mcuenta_corriente	0.00864702787291989	0.00513404036256132	0.00598089970738609
mrentabilidad	0.00648716622971301	0.00169509570254919	0.00457410206115952
cproductos_delta1	0.0057395043127809	0.0128258952519182	0.00280555644876041
mcaja_ahorro_lag1	0.00554639892412909	0.00398228673223451	0.0044294028746905
mactivos_margen	0.00520461804929399	0.00795305664963908	0.0074037750409981
ccaja_ahorro	0.00476057772563974	0.00774659666067848	0.00307083829062028
Visa_mpagospesos	0.00439489516682127	0.00282029501404476	0.0033200424450947
cproductos	0.00431543440475726	0.00758408410858628	0.00423647062606515
mpasivos_margen	0.00428146764550693	0.00230434576660256	0.00426058715714332
mcuenta_corriente_delta1	0.00428048825171973	0.00191517959690867	0.00423647062606515
