fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	ratio_corte	iteracion_bayesiana	ganancia
20211114 131318	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	287	TRUE	0.076905667699175	0.419173277771915	6859	479	0.0408015532290594	1	6356250
20211114 131505	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	413	TRUE	0.0641599977924489	0.839030743541662	1939	694	0.0444837772923937	2	6006250
20211114 131642	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	351	TRUE	0.0539325655496214	0.47883567258832	2262	334	0.0364414651904296	3	6457500
20211114 131748	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	413	TRUE	0.048175313253887	0.687696601051721	7211	569	0.0403914873674609	4	6367500
20211114 131916	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	181	TRUE	0.0554300020448864	0.898634747244068	1092	746	0.0409856644322262	5	6328750
20211114 132017	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	316	TRUE	0.042256474357564	0.28803192688647	5869	202	0.0414375737490899	6	6211250
20211114 132056	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	174	TRUE	0.0800598362053279	0.262583830038784	3614	660	0.0438310193902572	7	6253750
20211114 132131	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	149	TRUE	0.0905170106329024	0.749556493200362	4780	825	0.0422074933259689	8	6246250
20211114 132237	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	273	TRUE	0.0247853986150585	0.624119160616829	3388	131	0.0320646397696936	9	6411250
20211114 132344	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	287	TRUE	0.0307446525385603	0.380267285765149	5483	969	0.0447683127881968	10	5963750
20211114 132502	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	203	TRUE	0.0657875390152913	0.544173332347418	1423	290	0.0347258835245579	11	6463750
20211114 132550	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	337	TRUE	0.0888277341250796	0.166082692438795	7875	243	0.0354874344103839	12	5900000
20211114 132732	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	522	TRUE	0.0294164710352197	0.823820589089883	4306	886	0.033453842484497	13	6353750
