fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	early_stopping_rounds	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	gleaf_size	gnum_leaves	acumulaciones	pos_ratio_actual	gan_validate	gan_test	pos_ratio_acum	gan_validate_acum	gan_test_acum	iteracion_bayesiana
20211127 221713	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	92.4	225	TRUE	0.158717230118345	0.652636210202763	351	402	64.1490992717445	0.657155239759595	10	0.037151967060832	6800750	5605750	0.034880704309039	7140000	5940000	1
20211127 222514	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	331	260	TRUE	0.0657192451049923	0.907587110146414	1107	105	52.6111114898231	0.539917974270065	10	0.0360389311507787	6872000	5922000	0.0350982902764179	6907500	5907500	2
20211127 223701	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	211.5	232	TRUE	0.122252425838669	0.748017167893704	30	767	88.8269503379706	0.107249188990681	10	0.0399906270660206	6446750	5351750	0.0359267906906681	6783750	5383750	3
20211127 224854	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	196.6	262	TRUE	0.0642195654040552	0.4943778087385	113	652	75.483642690815	0.343145421289228	10	0.0382415706359368	6738000	5763000	0.0343451080816449	7020000	5870000	4
20211127 225825	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	493	228	TRUE	0.142166489310039	0.417988810656243	6009	15	35.4673616588116	0.41958289853661	10	0.0369971462763509	6603875	5863875	0.0383537110960475	6471250	5621250	5
20211127 232143	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	282.5	235	TRUE	0.111167189658445	0.314596847450593	11	18043	99.1225444432348	0.925224460883182	10	0.0379503401872913	6356500	5341500	0.0315499652699321	6387500	5487500	6
20211127 234114	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	289.9	319	TRUE	0.03346586178086	0.687713697344589	207	991	69.4358978548553	0.955571887505503	10	0.0379553614019231	6850750	5910750	0.0392156862745098	6742500	6142500	7
20211128 000616	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1648.7	390	TRUE	0.0210290502206772	0.339278354712587	2169	21	45.8408995973878	0.208499025527854	10	0.0372239378038881	6450000	6120000	0.0370565639828274	6365000	6165000	8
20211128 001445	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	648.6	220	TRUE	0.198898604344577	0.17779216777999	8978	8	31.3077909336425	0.31858175157613	10	0.0368306093243956	6333750	5718750	0.0324788899768187	6348750	5898750	9
20211128 002421	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	122.1	223	TRUE	0.169647188904637	0.575881433632458	154	640	72.3535847198218	0.459251188146736	10	0.0370984074380926	6523750	5343750	0.0423874201836091	6868750	5668750	10
20211128 003318	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1498.1	238	TRUE	0.104629133284907	0.82730145114183	14408	2	26.3103350088932	0.0235067331508617	10	0.0392901676248818	5301375	4696375	0.0420526725414878	5168750	4868750	11
20211128 004506	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	501.4	250	TRUE	0.0787091707048239	0.458492302372179	2769	56	43.3685727696866	0.716113468802941	10	0.0392617140753015	6800625	5875625	0.0407890001924799	6757500	5907500	12
20211128 004925	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	130.6	221	TRUE	0.187111176630715	0.112106538680382	656	283	57.866289250087	0.865916496434948	10	0.0379888361661353	6470750	5400750	0.0390483124534492	6767500	5717500	13
20211128 011902	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	357.9	285	TRUE	0.0466798693241435	0.970663229122874	65	1871	80.9993828972802	0.566909671095491	10	0.03583557195819	6572375	5502375	0.035901684617509	6437500	5587500	14
20211128 012611	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	665.3	226	TRUE	0.150430054258031	0.855476794253627	19478	10	23.0387669033371	0.803060292990995	10	0.0423698459323977	6446375	5586375	0.0436176177684048	6385000	5585000	15
20211128 013902	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	232.6	244	TRUE	0.0897421148052672	0.221599574084394	18	2177	94.0890776494052	0.182688347909134	10	0.0417539102708945	6448375	5418375	0.0370816700559865	6461250	5461250	16
20211128 020034	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	679.2	350	TRUE	0.0265942086931647	0.441180971172153	877	220	54.9539157997402	0.897364968388927	10	0.0357209208907635	6914500	5994500	0.0324370465215536	6905000	5855000	17
20211128 021535	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	236.7	265	TRUE	0.0611949932092232	0.568986109232197	284	513	66.2735981564806	0.678390985452006	10	0.035233863071477	6807250	5812250	0.0365293364464864	6843750	6243750	18
20211128 023249	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	610.2	310	TRUE	0.0363017757750999	0.470504842060111	303	161	65.6157413038716	0.227919902741504	10	0.0389077184437582	7068500	6043500	0.034604537504289	7131250	6181250	19
20211128 024051	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	260.5	272	TRUE	0.0552851537180777	0.100165301280286	259	592	67.1818002845114	0.714414505607481	10	0.0371352296787259	6813250	5808250	0.0413162277288209	6878750	5928750	20
20211128 025605	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	381.2	297	TRUE	0.0410089078285727	0.697070273633346	316	361	65.1814799988433	0.532192180227797	10	0.0363761894002159	6981625	5871625	0.0299013331324847	6883750	5983750	21
20211128 032300	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1591.8	395	TRUE	0.0204328418148018	0.275821521051635	645	77	58.0348376478348	0.231981650407742	10	0.0356690350062347	7027250	6012250	0.0393077418760932	7078750	6028750	22
20211128 033735	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	236.2	277	TRUE	0.0516607037338856	0.501116592934664	252	698	67.4624108166154	0.819170654735057	10	0.0370205786112994	6890375	5940375	0.0375084732996912	6897500	6097500	23
20211128 040435	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1281.3	398	TRUE	0.0201944576322381	0.487523149934645	986	49	53.7742144054861	0.226849384687176	10	0.0385495384666884	6897000	6072000	0.0398851815587524	6942500	5992500	24
20211128 042139	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1061.4	314	TRUE	0.0349491120543099	0.311812805659704	2580	14	44.0839353542994	0.172221678495948	10	0.0352598060137414	6383375	5978375	0.0387637769576461	6310000	5960000	25
20211128 043510	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	308.9	267	TRUE	0.0595577675892755	0.638410076160281	467	368	61.2671912570627	0.800336183577504	10	0.0353853363795369	6969625	5849625	0.032043718042061	6963750	5863750	26
20211128 045506	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	733.6	371	TRUE	0.0233536932683777	0.389932049292231	277	183	66.515273070141	0.236571483143604	10	0.0370339685169843	7138375	6123375	0.0400943988350782	7011250	6211250	27
20211128 052032	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1437.8	399	TRUE	0.0200438599090969	0.319963225640106	1793	46	47.7616432554705	0.383532851581498	10	0.0395219803670508	6836750	6051750	0.0430820215410108	6715000	6215000	28
