fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	num_iterations	early_stopping_rounds	force_row_wise	max_bin	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	gleaf_size	gnum_leaves	acumulaciones	pos_ratio_actual	gan_validate	gan_test	pos_ratio_acum	gan_validate_acum	gan_test_acum	iteracion_bayesiana
20211127 222927	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	333.8	239	TRUE	96	0.100748844812624	0.586871782263042	3433	35	41.1876972625032	0.551754983359366	10	0.0398132108156963	6663250	5798250	0.0429564911752153	6533750	5683750	1
20211127 224224	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	210.9	254	TRUE	89	0.0731523119597696	0.442965084644966	352	479	64.0979449255392	0.785307233377127	10	0.0356397445875491	6756625	5766625	0.0323868343752354	6962500	5662500	2
20211127 225205	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	331.4	262	TRUE	128	0.0637595846173354	0.822855524204206	657	91	57.8522281544283	0.278749211835093	10	0.0353669252592202	6797375	6082375	0.0357092047232892	6916250	6266250	3
20211127 230207	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	311.6	236	TRUE	160	0.10919195663929	0.630455132437637	1006	94	53.5809746431187	0.438475017423392	10	0.036310076740897	6766500	5741500	0.0382030746570929	6843750	5943750	4
20211127 231749	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	292.7	223	TRUE	25	0.171858094663126	0.256102606088389	11	11677	98.8923754887655	0.598803728774306	10	0.0391378574477166	6109125	5364125	0.0323952030662884	6361250	5461250	5
20211127 234146	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	127.8	230	TRUE	208	0.132032610804774	0.775729331166949	53	1040	83.0561747867614	0.256982645514072	10	0.0399429255270183	6343875	5458875	0.0345543253579708	6538750	5738750	6
20211127 234913	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	186.3	234	TRUE	140	0.117281335159903	0.347320319341961	1498	116	49.5754234660417	0.805106986850267	10	0.036392926782322	6744125	5814125	0.0312235863188639	6886250	5786250	7
20211128 002421	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	327.9	225	TRUE	234	0.159452230616007	0.491142090448411	21	8816	92.5425254842266	0.863011464760639	10	0.0370381528625108	6257750	5582750	0.0386466152829036	6477500	5777500	8
20211128 003729	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	1806.7	247	TRUE	227	0.0849053417260293	0.935274102700641	10400	2	29.7679854556918	0.0596465623294935	10	0.0371695413120434	5423125	4963125	0.0359602654548802	5328750	4828750	9
20211128 004258	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	228.4	220	TRUE	79	0.191871121270349	0.712642432722496	1777	45	47.8487621787935	0.369943892157287	10	0.0398374800197501	6544625	5814625	0.0311482680993866	6847500	5947500	10
20211128 005555	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	976.2	329	TRUE	187	0.0308131555579603	0.168072460056283	4275	8	38.9531404832378	0.166216124493396	10	0.033851355309516	6108750	5798750	0.0307214648556819	6111250	5561250	11
