Feature	Gain	Cover	Frequency	pos
ctrx_quarter	0.344637549852045	0.0403513461400075	0.00753295668549906	1
mcuentas_saldo	0.0412573109067504	0.0190759030842059	0.0091264667535854	2
mdescubierto_preacordado_tend6_avg3	0.0250274255562625	0.00272818515373179	0.0011589164131537	3
mcaja_ahorro	0.0235484691163161	0.00388142190843367	0.0034767492394611	4
cpayroll_trx	0.0231349088976615	0.0287125739883957	0.00941619585687382	5
mtarjeta_visa_consumo	0.0214190930570677	0.0143394737260098	0.00521512385919166	6
mprestamos_personales	0.0153465052460673	0.0164966361968491	0.0110097059249602	7
mv_status06_delta4	0.0126626177033461	0.00099436302256592	0.000144864551644213	8
ctarjeta_visa_transacciones	0.0121718730147881	0.0108016489288738	0.00434593654932638	9
mpayroll	0.0115346013013412	0.0149271918454335	0.00579458206576851	10
mv_status07_tend6	0.0100500318463754	0.00232362456167475	0.000579458206576851	11
mdescubierto_preacordado_tend6	0.00893898264869846	0.00670470506466594	0.00260756192959583	12
mpasivos_margen_avg3	0.00679548313886511	0.000310258607860451	0.000579458206576851	13
mcuenta_corriente_delta6	0.00673051823402024	0.00207869706131985	0.00202810372301898	14
mpasivos_margen	0.00648223170291867	0.00439713703009436	0.00260756192959583	15
mcuentas_saldo_min6_delta2	0.00575763842983269	0.00418502957388674	0.00507025930754744	16
mautoservicio	0.00573624782397857	0.0114062300676297	0.00275242648124004	17
mv_status06_tend6	0.00553482758059013	0.00192275079123565	0.000434593654932638	18
mprestamos_personales_min6	0.00443170528544069	0.000598998536703642	0.00144864551644213	19
mtarjeta_visa_consumo_delta6_avg3	0.00425912152273301	5.59936033225972e-05	0.000289729103288425	20
cproductos_delta2	0.00414709660095585	0.00332859243335479	0.00246269737795162	21
ccaja_ahorro	0.00376988136392738	0.0109608106939487	0.00492539475590323	22
cproductos_min6_delta2	0.00374374487154498	0.000979657631794329	0.00144864551644213	23
mtarjeta_visa_consumo_delta6	0.00342687923495299	0.000301649041468537	0.000579458206576851	24
cproductos	0.0032264068817191	0.00763904725972715	0.00289729103288425	25
ccomisiones_mantenimiento_tend6	0.00305374996482548	0.00317522274883314	0.00405620744603795	26
mv_Finiciomora	0.0030462487246829	0.00442402359570025	0.00391134289439374	27
mactivos_margen	0.00299862421083696	0.00407811698392875	0.00376647834274953	28
mpagomiscuentas	0.00289774045350294	0.0168360437381265	0.00376647834274953	29
mv_msaldopesos	0.00287449258503671	0.00104960250328485	0.000724322758221063	30
mcuenta_corriente	0.00279247715577932	0.000366356950433558	0.00159351006808634	31
mv_status04_delta6	0.00269526696375534	0.000149441962627538	0.000434593654932638	32
mdescubierto_preacordado_delta2	0.00258943159456493	0.00684008054594999	0.0023178328263074	33
mv_mpagominimo	0.00243497030563576	0.00487315597581179	0.00217296827466319	34
mcaja_ahorro_dolares_delta2	0.00239474959501895	0.0122906168771602	0.00507025930754744	35
mtarjeta_master_consumo	0.0023004181050406	0.00659043977932215	0.0023178328263074	36
mprestamos_personales_min6_delta2	0.00226736358018301	0.000839024240134674	0.00144864551644213	37
mv_status06_avg3	0.00225410173647033	2.96569187818806e-05	0.000144864551644213	38
mv_fechaalta_delta2	0.00217934266520935	0.00914683161436759	0.0034767492394611	39
mdescubierto_preacordado_tend6_avg6	0.00217115259005249	0.000299318593144691	0.000434593654932638	40
mv_status07_avg6_delta2	0.00212819014297381	0.00100681651945155	0.000289729103288425	41
mv_status06_delta6	0.00211239875487066	0.000914677400777981	0.000144864551644213	42
ccomisiones_mantenimiento_delta6	0.00210445103248986	6.81328824566956e-05	0.000434593654932638	43
foto_mes	0.00207968072338721	0.0021182884980126	0.00391134289439374	44
cpayroll_trx_min6	0.00198177744328867	0.00712074507857887	0.00130378096479791	45
ccaja_seguridad	0.00177857627933254	0.00296461830087034	0.00188323917137476	46
mv_msaldototal	0.00176114461022328	0.000766272356730492	0.000869187309865276	47
Visa_Finiciomora	0.00171054065916616	0.00630859693012504	0.00289729103288425	48
ctransferencias_recibidas_avg6_lag2_lag6_avg6_avg3	0.00171032371048457	0.000261795756649517	0.000724322758221063	49
mprestamos_personales_delta6	0.00166711206816083	0.0015001750480909	0.00188323917137476	50
mcuentas_saldo_delta4	0.00164537306966013	0.00373000037397149	0.00246269737795162	51
cproductos_delta2_avg3	0.00160777775610166	5.27205017441625e-05	0.000144864551644213	52
mdescubierto_preacordado_tend6_avg6_avg3	0.00160555894463242	0.000380517697102498	0.000579458206576851	53
mpayroll_min6_lag2	0.00155133628809453	0.00370855501242959	0.0023178328263074	54
ctarjeta_visa_transacciones_tend6	0.0014959208573192	0.00303519160786391	0.00159351006808634	55
mprestamos_personales_delta2	0.00144357764670502	0.00461585353300915	0.00246269737795162	56
mcomisiones_mantenimiento	0.00143360656770104	0.00452250991295472	0.00260756192959583	57
cpayroll_trx_avg3	0.00142458312707663	0.000240905513135315	0.000434593654932638	58
mv_status02	0.00136759613243147	0.00029142649061877	0.000289729103288425	59
mcomisiones_mantenimiento_delta6	0.00134544219715959	0.00227179434355992	0.00275242648124004	60
mv_status01_max6	0.00128717025927062	0.000475343377551644	0.00101405186150949	61
mv_Finiciomora_avg3	0.00125638669428879	0.00159464985205083	0.00101405186150949	62
mcuentas_saldo_min6_delta4	0.00120027045563097	0.000395998158327863	0.00144864551644213	63
mtransferencias_recibidas	0.00119715645631863	0.00273307123976808	0.00173837461973055	64
tcallcenter	0.00113259363997455	0.00212335787773728	0.00144864551644213	65
mplazo_fijo_dolares_delta6	0.00110165495256015	0.00915213142044339	0.00217296827466319	66
mcuenta_debitos_automaticos	0.00104522363108431	0.00146202377609266	0.00188323917137476	67
Visa_fultimo_cierre_tend6_avg6	0.00103925835383078	0.000756913904697431	0.00159351006808634	68
mcomisiones_mantenimiento_avg6_delta6_avg6_avg3	0.000978729421829984	0.000603963177177812	0.0011589164131537	69
mdescubierto_preacordado_delta6	0.000977068766418602	0.000268771390733477	0.000289729103288425	70
mcuenta_debitos_automaticos_delta6	0.000967583070822458	0.00556119858633643	0.00188323917137476	71
ctransferencias_emitidas_avg6_lag2_lag4_avg6_avg3	0.000939525082222863	0.000533986883912142	0.000579458206576851	72
mrentabilidad_max6_lag2_avg3	0.000935203279644103	0.000325801912636122	0.000869187309865276	73
mcuentas_saldo_tend6	0.000909522315968264	0.00124335964280313	0.00188323917137476	74
mactivos_margen_min6	0.000907237134680157	0.000880134395959813	0.00144864551644213	75
ccallcenter_transacciones_avg6_avg6	0.000906302615713261	0.00078195705949435	0.00159351006808634	76
mrentabilidad_max6	0.000905286881887918	0.000415217810796431	0.00144864551644213	77
mv_status06_delta4_avg6	0.000900479920562062	5.48728933421411e-05	0.000144864551644213	78
mactivos_margen_avg3	0.000869273815204939	0.00219508855344899	0.00217296827466319	79
ccomisiones_mantenimiento_delta4	0.000850855833143962	0.000253976971598952	0.000579458206576851	80
mpasivos_margen_avg6_delta6_avg6_avg3	0.000831868033970543	3.14689078157021e-05	0.000144864551644213	81
mprestamos_personales_delta2_tend6	0.000831290136818289	0.0020033843032407	0.00101405186150949	82
mv_cconsumos	0.000828870889232038	0.00123048718891546	0.000724322758221063	83
ccomisiones_mantenimiento_avg6_delta2	0.000812798497021429	0.000136810409016043	0.000579458206576851	84
mcuentas_saldo_delta4_avg3	0.000801351803652012	0.000135846807911351	0.000579458206576851	85
mttarjeta_visa_debitos_automaticos_min6_delta2	0.000790389961089534	0.00220874131475295	0.00173837461973055	86
ctarjeta_visa_transacciones_tend6_avg3	0.000780004861387909	0.000312054886006696	0.00101405186150949	87
mpayroll_delta2	0.000769381820782378	0.00151107316710645	0.00101405186150949	88
ccallcenter_transacciones_avg6_delta2	0.000762541393099918	0.00144589916847666	0.00130378096479791	89
mv_status06	0.000758836164182287	0.000871922838719837	0.000869187309865276	90
mprestamos_personales_min6_delta2_avg3	0.000730469731876954	0.00067846420606551	0.00101405186150949	91
mtransferencias_recibidas_delta4_avg3	0.00072341982741933	0.00123050813676556	0.0011589164131537	92
mv_status01	0.000721656966863912	0.00271032711151985	0.00130378096479791	93
mpayroll_min6_delta2	0.000718842205977053	0.0038468370079153	0.00159351006808634	94
mpayroll_min6_delta2_delta6	0.000714395757357494	0.00118527125447033	0.000724322758221063	95
mvr_msaldopesos2	0.000709759239939508	0.000295851723952813	0.000869187309865276	96
ctrx_quarter_min6_lag4_lag6_avg6	0.000703242662654229	1.03220531377515e-05	0.000144864551644213	97
ccomisiones_mantenimiento_delta2	0.000701008121059541	0.00132205024171122	0.00130378096479791	98
thomebanking	0.000661524208588836	0.00203145965933988	0.0011589164131537	99
ccaja_ahorro_max6_delta6_avg6_avg3	0.000653078111211745	0.00169926341546013	0.00101405186150949	100
ctarjeta_visa_transacciones_delta6_avg6	0.000645428385812159	0.000367896617416054	0.000579458206576851	101
mplazo_fijo_dolares	0.000642627931553797	0.00979592693459012	0.00188323917137476	102
cprestamos_personales_delta2	0.000638781464624834	0.00146777396094566	0.00101405186150949	103
mdescubierto_preacordado_avg6_delta2_avg3	0.000618084837741321	4.38019545632438e-05	0.000144864551644213	104
mrentabilidad_avg6	0.000607664286187168	0.000282628393575937	0.000869187309865276	105
ccaja_ahorro_max6_delta6_avg6	0.000600345354363747	0.00142888951419385	0.000579458206576851	106
mcomisiones_mantenimiento_max6_tend6	0.000596967893849179	4.68603406781331e-05	0.000434593654932638	107
mcuenta_corriente_delta2	0.000585397381422904	0.00136164691536649	0.00144864551644213	108
tpaquete4	0.000584791118915167	0.00174631228678918	0.00130378096479791	109
mrentabilidad_max6_avg3	0.000563680713425327	0.000218554157076501	0.000869187309865276	110
mprestamos_personales_avg6_delta2_avg6_avg3	0.000553706280004051	0.000115427891024445	0.000434593654932638	111
chomebanking_transacciones_delta6_avg6	0.000545801862918123	0.000117821182898596	0.000724322758221063	112
mv_mfinanciacion_limite_min6_lag2_delta4_delta6_tend6_avg3	0.000544414342678012	6.21522712525798e-05	0.000289729103288425	113
chomebanking_transacciones_delta2	0.000540428034120437	0.00461856627959736	0.00173837461973055	114
mactivos_margen_max6_lag2_lag6_avg6	0.000538345647887133	0.000569493489835001	0.00130378096479791	115
Master_mlimitecompra_tend6_delta2	0.000537898997153357	0.00918857544265832	0.00159351006808634	116
Visa_mpagominimo	0.000537230222793993	0.000550666609555845	0.00144864551644213	117
mprestamos_personales_delta4	0.000532369614032191	0.000203262226502054	0.000724322758221063	118
ccallcenter_transacciones_tend6	0.000528936027066585	0.000471363286032267	0.000869187309865276	119
Visa_mpagominimo_max6_delta2	0.000522054389631703	0.00220326868891381	0.000869187309865276	120
mv_mpagominimo_avg6_delta4	0.00051276598877563	5.49723956301256e-05	0.000144864551644213	121
mv_status07_avg6_delta2_avg6_avg3	0.000504021433475462	0.000141109955249474	0.000724322758221063	122
mv_fechaalta	0.00050093754644955	0.000636290946847695	0.00130378096479791	123
mcomisiones_mantenimiento_tend6	0.000498519243987802	0.00130250066060355	0.0011589164131537	124
cproductos_delta6	0.000493855658823795	0.000101743707945325	0.000434593654932638	125
numero_de_cliente	0.000492860541495045	0.00105567214285189	0.00159351006808634	126
mrentabilidad_max6_avg6	0.000488994744058567	0.000345346256781271	0.00101405186150949	127
ctransferencias_emitidas_avg6_lag2_lag4_lag6_avg6	0.000483595116073363	1.06834035520107e-05	0.000289729103288425	128
ctarjeta_visa_transacciones_min6_delta2_delta6	0.000481364846906245	0.000217323470883009	0.000434593654932638	129
cproductos_avg6_delta2	0.000480258745233923	0.00134485197654723	0.000869187309865276	130
cprestamos_personales_delta2_avg6	0.000464541739203872	1.5517119963043e-05	0.000144864551644213	131
mtransferencias_emitidas_max6_lag2_lag4_lag6_avg6	0.000458103101765699	0.000922737086104719	0.00130378096479791	132
mcuentas_saldo_min6_delta2_delta6	0.000457372902060541	0.00166620247103668	0.00130378096479791	133
